water#water|Train
water#bromide|Train
water#lithium|Train
water#potassium|Train
potassium#chloride|Train
acetate#lithium|Train
acetate#sodium|Train
acetate#potassium|Train
acetate#water|Train
acetate#fluoride|Train
acetate#chloride|Train
methylammonium#methylammonium|Train
methylammonium#fluoride|Train
methylammonium#chloride|Train
methylammonium#bromide|Train
methylammonium#water|Train
methylammonium#lithium|Train
methylammonium#sodium|Train
ammonium#acetate|Train
ammonium#ammonium|Train
ammonium#bromide|Train
ammonium#water|Train
ammonium#lithium|Train
ammonium#sodium|Train
ethylammonium#bromide|Train
ethylammonium#chloride|Train
ethylammonium#ethylammonium|Train
ethylammonium#water|Train
formate#formate|Train
formate#potassium|Train
formate#water|Train
sodium#sodium|Train
potassium#potassium|Train
chloride#chloride|Train
bromide#bromide|Train
sodium#chloride|Train
chloride#fluoride|Train
formate#chloride|Train
potassium#bromide|Train
ethylammonium#potassium|Train
sodium#fluoride|Train
lithium#bromide|Train
lithium#sodium|Train
bromide#fluoride|Train
bromide#chloride|Train
water#chloride|Train
water#fluoride|Train
water#sodium|Train
ethylammonium#methylammonium|Train
sodium#potassium|Test
formate#sodium|Test
formate#lithium|Test
acetate#acetate|Test
acetate#bromide|Test
methylammonium#formate|Test
methylammonium#acetate|Test
ammonium#chloride|Test
ammonium#fluoride|Test
ammonium#formate|Test
ethylammonium#fluoride|Test
ethylammonium#formate|Test
lithium#lithium|Test
fluoride#fluoride|Test
lithium#fluoride|Test
ammonium#potassium|Test
ethylammonium#lithium|Test
ethylammonium#sodium|Test
formate#fluoride|Test
formate#bromide|Test
methylammonium#potassium|Test
potassium#fluoride|Test
sodium#bromide|Test
lithium#chloride|Test
lithium#potassium|Test
ammonium#ethylammonium|Test
formate#acetate|Test
ammonium#methylammonium|Test
