water#water|Train
water#bromide|Train
water#lithium|Train
water#potassium|Train
potassium#chloride|Train
acetate#lithium|Train
acetate#sodium|Train
acetate#potassium|Train
acetate#water|Train
acetate#fluoride|Train
acetate#chloride|Train
methylammonium#methylammonium|Train
methylammonium#fluoride|Train
methylammonium#chloride|Train
methylammonium#bromide|Train
methylammonium#water|Train
methylammonium#lithium|Train
methylammonium#sodium|Train
ammonium#acetate|Train
ammonium#ammonium|Train
ammonium#bromide|Train
ammonium#water|Train
ammonium#lithium|Train
ammonium#sodium|Train
ethylammonium#bromide|Train
ethylammonium#chloride|Train
ethylammonium#ethylammonium|Train
ethylammonium#water|Train
formate#formate|Train
formate#potassium|Train
formate#water|Train
sodium#sodium|Train
potassium#potassium|Train
chloride#chloride|Train
bromide#bromide|Train
sodium#chloride|Train
chloride#fluoride|Train
formate#chloride|Train
potassium#bromide|Train
ethylammonium#potassium|Train
sodium#fluoride|Train
lithium#bromide|Train
lithium#sodium|Train
bromide#fluoride|Train
bromide#chloride|Train
water#chloride|Train
water#fluoride|Train
water#sodium|Train
ethylammonium#methylammonium|Train
