ethane#propane|Train
ethanol#ethanol|Train
ethanol#water|Train
water#water|Train
1-propanol#ethanol|Train
water#1-propanol|Train
water#ethane|Train
water#propane|Train
water#butane|Train
ethanol#ethane|Train
ethanol#propane|Train
ethanol#butane|Train
water#1-butanol|Train
1-butanol#ethane|Train
1-butanol#ethanol|Train
1-propanol#ethane|Train
1-propanol#propane|Train
butane#ethane|Train
butane#ethanol|Train
butane#propane|Train
butane#butane|Train
ethane#ethane|Train
propane#ethane|Train
propane#propane|Train
ethanol#butane|Train
